Data,Regiao,Sistema,Classe,TipoConsumidor,TipoValor,Consumo_Total_GWh,Energia_Injetada_MMGD_GWh,Perda_Total_GWh,DataVersao,Ano,Taxa_Perda_%
2004-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,103.020935,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,58.585353,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,62.87325,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,31.163492,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,38.103785,0.0,0.0,2026-04-29,2004,0.0
2005-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,113.400419,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,63.195299,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,68.945771,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,39.745743,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,42.25581,0.0,0.0,2026-04-29,2005,0.0
2006-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,68.696973,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,31.102068,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,37.470587,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,10.288708,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,25.467202,0.0,0.0,2026-04-29,2006,0.0
2007-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,66.833,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,29.465,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,36.786,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,12.595,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,24.697,0.0,0.0,2026-04-29,2007,0.0
2008-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,57.061,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,29.799,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,30.39,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,13.548,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,21.481,0.0,0.0,2026-04-29,2008,0.0
2009-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,29.342,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,15.902,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,16.561,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,7.827,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,10.909,0.0,0.0,2026-04-29,2009,0.0
2010-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,28.213,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,12.827,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,16.354,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,7.67,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,10.5,0.0,0.0,2026-04-29,2010,0.0
2011-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,23.959,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,8.236,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,13.83,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,7.396,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,10.092,0.0,0.0,2026-04-29,2011,0.0
2012-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,8.42,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,1.364,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,6.255,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,4.602,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.442,0.0,0.0,2026-04-29,2012,0.0
2013-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,7.704,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,1.24,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.134,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,4.214,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.049,0.0,0.0,2026-04-29,2013,0.0
2014-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.281,0.0,0.0,2026-04-29,2014,0.0
2014-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.735,0.0,0.0,2026-04-29,2014,0.0
2014-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.172,0.0,0.0,2026-04-29,2014,0.0
2014-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.999,0.0,0.0,2026-04-29,2014,0.0
2014-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.892,0.0,0.0,2026-04-29,2014,0.0
2015-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.262,0.0,0.0,2026-04-29,2015,0.0
2015-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.755,0.0,0.0,2026-04-29,2015,0.0
2015-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.195,0.0,0.0,2026-04-29,2015,0.0
2015-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,1.007,0.0,0.0,2026-04-29,2015,0.0
2015-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.968,0.0,0.0,2026-04-29,2015,0.0
2016-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.81,0.0,0.0,2026-04-29,2016,0.0
2016-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.643,0.0,0.0,2026-04-29,2016,0.0
2016-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.328,0.0,0.0,2026-04-29,2016,0.0
2016-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,1.171,0.0,0.0,2026-04-29,2016,0.0
2016-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.899,0.0,0.0,2026-04-29,2016,0.0
2017-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,1.893,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.647,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.386,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.227,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.414,0.0,0.0,2026-04-29,2017,0.0
2018-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,1.780879,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.845419,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.706809,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.172915,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.310373,0.0,0.0,2026-04-29,2018,0.0
2019-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.06526,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.781214,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.758965,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.283362,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.327922,0.0,0.0,2026-04-29,2019,0.0
2020-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.367175,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.772266,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,2.042421,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.296434,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.482526,0.0,0.0,2026-04-29,2020,0.0
2021-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.707785,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.964338,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.838084,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.267734,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.231251,0.0,0.0,2026-04-29,2021,0.0
2022-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.080754,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.569567,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,1.294998,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.140586,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.14501,0.0,0.0,2026-04-29,2022,0.0
2023-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2023,
2024-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2024,
2023-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2023,
2024-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2024,
2023-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2023,
2024-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2024,
2023-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2023,
2024-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2024,
2023-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2023,
2024-12-01,Centro-Oeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,0.0,0.0,0.0,2026-04-29,2024,
2004-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,1.698265,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.192714,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,4.119944,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.467295,0.0,0.0,2026-04-29,2004,0.0
2004-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,1.592793,0.0,0.0,2026-04-29,2004,0.0
2005-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.103269,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.357757,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,4.783117,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.219588,0.0,0.0,2026-04-29,2005,0.0
2005-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,2.255754,0.0,0.0,2026-04-29,2005,0.0
2006-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.192095,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.295667,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,4.695229,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.143676,0.0,0.0,2026-04-29,2006,0.0
2006-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,2.906407,0.0,0.0,2026-04-29,2006,0.0
2007-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.262,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.213,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,4.589,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.822,0.0,0.0,2026-04-29,2007,0.0
2007-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.139,0.0,0.0,2026-04-29,2007,0.0
2008-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.118,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.172,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,4.826,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.148,0.0,0.0,2026-04-29,2008,0.0
2008-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,4.184,0.0,0.0,2026-04-29,2008,0.0
2009-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.196,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.152,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.163,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.16,0.0,0.0,2026-04-29,2009,0.0
2009-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.421,0.0,0.0,2026-04-29,2009,0.0
2010-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,2.637,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.157,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.592,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.166,0.0,0.0,2026-04-29,2010,0.0
2010-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.579,0.0,0.0,2026-04-29,2010,0.0
2011-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,3.084,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.175,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.657,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.14,0.0,0.0,2026-04-29,2011,0.0
2011-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,5.185,0.0,0.0,2026-04-29,2011,0.0
2012-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,3.256,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.159,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.426,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.152,0.0,0.0,2026-04-29,2012,0.0
2012-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,5.17,0.0,0.0,2026-04-29,2012,0.0
2013-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,3.454,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.148,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,5.851,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.1,0.0,0.0,2026-04-29,2013,0.0
2013-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,5.198,0.0,0.0,2026-04-29,2013,0.0
2014-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.137,0.0,0.0,2026-04-29,2014,0.0
2014-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.086,0.0,0.0,2026-04-29,2014,0.0
2015-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.129,0.0,0.0,2026-04-29,2015,0.0
2015-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.094,0.0,0.0,2026-04-29,2015,0.0
2016-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.192,0.0,0.0,2026-04-29,2016,0.0
2016-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.13,0.0,0.0,2026-04-29,2016,0.0
2017-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,5.492,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.203,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,8.038,0.0,0.0,2026-04-29,2017,0.0
2017-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.149,0.0,0.0,2026-04-29,2017,0.0
2018-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,6.194,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.238,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,8.462,0.0,0.0,2026-04-29,2018,0.0
2018-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.175,0.0,0.0,2026-04-29,2018,0.0
2019-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,7.162,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.252,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,10.333,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.073,0.0,0.0,2026-04-29,2019,0.0
2019-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,4.413,0.0,0.0,2026-04-29,2019,0.0
2020-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,6.356,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.187,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,6.569,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.077,0.0,0.0,2026-04-29,2020,0.0
2020-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,3.81,0.0,0.0,2026-04-29,2020,0.0
2021-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,8.254,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.219,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,9.941,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.086,0.0,0.0,2026-04-29,2021,0.0
2021-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,4.085,0.0,0.0,2026-04-29,2021,0.0
2022-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,10.054,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.332,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,11.083,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.093,0.0,0.0,2026-04-29,2022,0.0
2022-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,5.166,0.0,0.0,2026-04-29,2022,0.0
2023-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,10.272,0.0,0.0,2026-04-29,2023,0.0
2023-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.211,0.0,0.0,2026-04-29,2023,0.0
2023-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,11.765,0.0,0.0,2026-04-29,2023,0.0
2023-12-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,Histórico,0.071,0.0,0.0,2026-04-29,2023,0.0
2023-12-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,Histórico,6.083,0.0,0.0,2026-04-29,2023,0.0
2024-12-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,Histórico,11.674,0.0,0.0,2026-04-29,2024,0.0
2024-12-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,Histórico,0.261,0.0,0.0,2026-04-29,2024,0.0
2024-12-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,Histórico,13.161,0.0,0.0,2026-04-29,2024,0.0
